(112.2,104.6)
(94.6,83)
(96.5,125.8)
(102.1,92.4)
(117.8,127.9)
(96.3,114.2)
(104.6,107.9)
(102.7,62.5)
(91,109.7)
(87.4,84.9)
(91.8,128.3)
(124.4,36)
(85.4,115.4)
(100.9,113.5)
(95.1,84.8)
(110.3,88.6)
(107.7,74)
(98.1,100)
(86.7,92.7)
(96.8,101.2)
(118.1,101.6)
(93.1,100.7)
(105.7,88.7)
(95.8,99.1)
(136.3,97.5)
(60,128.5)
(125,121)
(106.3,107)
(93.6,120.5)
(82,77.3)
(112.1,93.9)
(117.3,106.9)
(101.7,112.2)
(89,102.6)
(82.8,111.1)
(132.5,108.8)
(86.2,89.4)
(120.1,102.6)
(106.6,90.6)
(106.9,97.7)
(94.9,115.7)
(89.6,82.6)
(91.3,95.9)
(100.4,106.2)
(77.5,100.9)
(106.3,78.2)
(99.3,112.8)
(92.3,103.6)
(70,82.9)
(159,120.5)
(97.4,89.3)
(113.5,103.5)
(79.4,109.4)
(97.3,94.5)
(109.5,86)
(107,97.5)
(99.2,107.9)
(117.7,123.9)
(95.3,111.3)
(71.7,113.9)
(104.9,90.3)
(95.5,100.8)
(93.3,108.2)
(100.7,82.6)
(89.2,98.4)
(84.8,87.8)
(114.8,101.4)
(96.8,93)
(79.4,107.5)
(108.4,102.9)
(108.3,97.2)
(92.5,128.6)
(58,140)
(106.8,100.8)
(92.8,101)
(90.4,101.2)
(99,98.2)
(108,90.6)
(120.9,109.9)
(104.7,103.9)
(98.7,110.3)
(91.5,96.9)
(89.3,92.5)
(116.9,108.9)
(77.8,73.2)
(126.7,110.6)
(110.7,96.9)
(138,85)
(111.3,91.7)
(106.5,108)
(104.1,106.6)
(102.3,100.6)
(99.2,98.9)
(96.7,108.1)
(78,74.2)
(95.3,94)
(97.7,96.8)
(97.3,108.4)
(102.3,116.4)
(97.8,90.8)
(108.7,102.6)
(96.6,102.5)
(78.4,98.3)
(128.3,113.7)
(102.6,122.1)
(95.2,68.3)
(99,106.1)
(104.8,113)
(131.5,100.5)
(101.4,96.4)
(105.1,108.2)
(112.2,93.3)
(116.1,87.4)
(87.9,95.4)
(99.9,91)
(99,111.9)
(99.8,116.1)
(90.1,118.2)
(97.2,99.2)
(94.6,100.2)
(90.4,102.3)
(95,102.1)
(84,145.8)
(94.3,94.7)
(100.5,98)
(115.1,93.4)
(135.8,124)
(84.9,93.7)
(89.9,115.5)
(103.6,102.3)
(108.2,101.5)
(107.6,90)
(96.1,103.6)
(109.8,111.6)
(109.1,95)
(101.4,101.3)
(113.2,78.3)
(97.9,99.7)
(118.8,76.8)
(105.4,85.5)
(90.7,102.2)
(84.1,115.4)
(92.2,105.1)
(104.8,103.5)
(122.2,124.5)
(116.5,112.8)
(91.5,112.4)
(79.3,56.7)
(88.2,112.4)
(90.6,58.5)
(104.4,90.4)
(109.6,119.8)
(106.6,99.8)
(98.1,101.9)
(75.7,118.2)
(88.1,101)
(102.4,91.1)
(91.1,109.2)
(125.8,111.7)
(114,109.1)
(91.9,88.3)
(122,115.9)
(118.5,113)
(107.7,90.6)
(102.6,91.6)
(109.6,100.6)
(113.4,118.2)
(115.5,86.8)
(96.2,124.8)
(104.1,99.9)
(97.1,150.6)
(105.6,104.2)
(110.5,92.7)
(87.2,97.9)
(103.1,86.4)
(68.1,104.4)
(100.3,56)
(106.9,115.5)
(116.9,114.6)
(101.5,72.9)
(105.3,86.6)
(100.2,91.7)
(106.6,92.8)
(100.4,102.8)
(61,136)
(69.5,59)
(79,81)
(101.9,93.5)
(107.3,122.7)
(122.2,102.9)
(115,78.4)
(117.3,112.5)
(108.2,113.3)
(100.7,98.8)
(105.6,93.9)
(87,47.6)
(86.5,98)
(100.6,91.7)
(112.4,125.6)
(61,89.4)
(92.3,108.3)
(114.4,81.6)
(99.5,100.3)
(128.5,167.3)
(95.6,111.9)
(110.1,112.8)
(100.9,89.4)
(77.8,103.5)
(66.5,82.9)
(88.2,104.2)
(114.4,110.2)
(104.8,97)
(90.5,108.7)
(122.4,102.8)
(108.8,90.1)
(95.3,103.8)
(115.3,103.8)
(90.1,110.1)
(109.9,96.5)
(104.9,83.9)
(81.6,87.2)
(99.3,91.7)
(111,100.3)
(108.2,105.1)
(94,106.3)
(136,106.9)
(86,86)
(105,64.7)
(109.9,100.9)
(127.6,112.9)
(94.8,88)
(91.5,94.9)
(101.4,108.6)
(105.3,103.1)
(86.1,109.5)
(107.8,102.2)
(104.1,112.7)
(106.4,111.5)
(106,95.4)
(119.5,67.7)
(105.2,98.7)
(142.7,110.9)
(95,122.7)
(95.5,85.9)
(73.9,112.5)
(101.9,111.5)
(101.5,101.4)
(115.2,176.4)
(101,26)
(110.9,94.3)
(90.8,107.2)
(98.4,90)
(142.6,77.8)
(122.4,124.5)
(113.8,99.9)
(104,110.9)
(67,69.5)
(124,83.4)
(82.9,103.1)
(99.8,100.3)
(96,83.4)
(81.1,95)
(102.4,101.8)
(98.7,113.1)
(84.5,85.2)
(88.9,97.5)
(101.2,72.9)
(96.6,103.9)
(93.4,90)
(76.4,64.1)
(101.9,99.1)
(105.4,91.3)
(98.5,88.6)
(94,91.4)
(88.7,101.3)
(117.7,61.7)
(105.5,100.8)
(100.1,87.1)
(90.7,109.3)
(105.3,94.4)
(109,108.5)
(98.1,93.6)
(95.1,109.9)
(103.9,97.8)
(100.7,93)
(93.2,112.1)
(91.4,97.7)
(115.3,107.8)
